id,date,0.0
66653017,2016-03-23,0.9484
67305138,2016-03-28,0.9903
67799615,2016-03-31,0.9856
68024000,2016-04-01,0.9869
68194610,2016-04-02,0.2228
68232628,2016-04-03,0.9789
68592997,2016-04-05,0.9646
68940649,2016-04-07,0.9983
69176430,2016-04-09,0.8759
69667051,2016-04-12,0.9036
70394994,2016-04-17,0.9855
49699746,2015-10-05,0.9828
50514077,2015-10-12,0.9516
51173522,2015-10-18,0.9813
51335222,2015-10-19,0.9785
51496488,2015-10-20,0.969
51567193,2015-10-21,0.836
53310872,2015-11-07,0.9549
53512224,2015-11-09,0.9702
53915725,2015-11-14,0.9797
55416166,2015-12-01,0.9891
56505103,2015-12-14,0.9521
57033106,2015-12-21,0.9894
59948586,2016-01-17,0.9704
60154664,2016-01-19,0.9392
60347787,2016-01-22,0.9922
60626710,2016-01-25,0.9477
61191197,2016-02-01,0.9843
61511273,2016-02-05,0.9465
62594781,2016-02-15,0.9854
63112312,2016-02-20,0.9735
64100206,2016-02-29,0.9876
64698510,2016-03-06,0.9007
64950967,2016-03-09,0.9661
65811981,2016-03-17,0.944
66481729,2016-03-22,0.9315
67005155,2016-03-26,0.9889
67273142,2016-03-27,0.9787
68399654,2016-04-04,0.9508
69025094,2016-04-08,0.979
70447159,2016-04-17,0.9688
10373216,2014-02-16,0.9651
15367417,2014-07-07,0.9841
15648814,2014-07-13,0.8908
16863797,2014-08-03,0.9915
19574095,2014-09-14,0.9619
22465891,2014-11-07,0.9541
24773835,2015-01-02,0.9914
26151804,2015-02-05,0.9348
33135250,2015-05-25,0.9382
41887701,2015-08-09,0.8803
43677022,2015-08-21,0.9823
44057073,2015-08-23,0.5106
48386085,2015-09-26,0.7475
52776173,2015-11-01,0.9953
58414916,2016-01-02,0.9077
60993580,2016-01-30,0.9833
64742125,2016-03-07,0.8977
65417183,2016-03-13,0.8384
65615235,2016-03-15,0.926
66486873,2016-03-22,0.0
66529001,2016-03-23,0.9883
67088532,2016-03-26,0.9211
68827509,2016-04-07,0.8619
69685619,2016-04-12,0.9449
70450569,2016-04-17,0.9413
17893866,2014-08-18,0.9516
19855841,2014-09-19,0.9638
20861373,2014-10-06,0.9701
21169502,2014-10-12,0.9841
21667543,2014-10-21,0.9848
21899688,2014-10-26,0.9061
22274151,2014-11-02,0.978
22573951,2014-11-09,0.9412
23403488,2014-11-30,0.9086
24030638,2014-12-17,0.9972
24661476,2015-01-01,0.906
24907169,2015-01-03,0.946
26031270,2015-02-01,0.9847
27973548,2015-03-15,0.9833
28373865,2015-03-22,0.8805
29137194,2015-04-04,0.9694
29804048,2015-04-12,0.5106
30434872,2015-04-21,0.923
31746215,2015-05-09,0.9133
32026518,2015-05-12,0.9628
32153351,2015-05-14,0.9842
32510711,2015-05-19,0.9777
33120715,2015-05-25,0.9154
35048463,2015-06-14,0.9774
38339260,2015-07-14,0.9902
38923749,2015-07-19,0.9746
39855699,2015-07-26,0.9508
40691724,2015-08-01,0.9827
41475635,2015-08-07,0.9365
44182501,2015-08-24,0.8519
45024008,2015-08-30,0.988
46039953,2015-09-07,0.967
47848894,2015-09-21,0.8519
48793790,2015-09-28,0.8519
50487690,2015-10-12,0.8977
51154349,2015-10-18,0.8061
53882285,2015-11-14,0.9903
65262194,2016-03-12,0.9457
67178821,2016-03-27,0.9465
69332121,2016-04-10,0.9587
37276998,2015-07-05,0.1388
38076780,2015-07-12,0.9682
40856322,2015-08-02,0.9675
41493501,2015-08-07,0.9741
41683019,2015-08-08,0.995
41910613,2015-08-09,0.996
43880160,2015-08-22,0.9281
44029804,2015-08-23,0.9509
45045652,2015-08-30,0.9926
47885921,2015-09-21,0.975
50191481,2015-10-10,0.8825
51159868,2015-10-18,0.9819
51802553,2015-10-24,0.9677
54079788,2015-11-15,0.9756
58117931,2016-01-01,0.9927
58483505,2016-01-02,0.9758
58560039,2016-01-03,0.7777
63312015,2016-02-21,0.9884
65438254,2016-03-13,0.9508
68596658,2016-04-05,0.9755
